sender,nominal_interval_s,p_g2b_full,r_b2g_full,pi_bad_full,eps_good_full,eps_bad_full,loglik_full,mean_bad_run_pkts_full,mean_good_run_pkts_full,p_g2b_steady_fl,r_b2g_steady_fl,pi_bad_steady_fl,eps_good_steady_fl,eps_bad_steady_fl,loglik_steady_fl,mean_bad_run_pkts_steady_fl,mean_good_run_pkts_steady_fl,p_g2b_steady_rp,r_b2g_steady_rp,pi_bad_steady_rp,eps_good_steady_rp,eps_bad_steady_rp,loglik_steady_rp,mean_bad_run_pkts_steady_rp,mean_good_run_pkts_steady_rp
16,0.09999999999999432,0.002645026724260764,0.0066989083551669375,0.28307417611282965,0.03149432713619861,0.9901292319391625,-236.2348178949436,149.27805352474925,378.0680137662811,0.0026550873096905696,0.007382085963082643,0.2645254034711891,0.03133194575064443,0.9888482171161721,-235.26894891413153,135.46306626622047,376.6354486160165,0.0009100203597262906,0.007365014709922592,0.10997178284646275,0.029105603219114356,0.999999,-163.11678640028725,135.77705400272177,1098.8765133790773
160,0.09999999999999432,0.0026846258038487987,0.006110161552085756,0.30525192880726837,0.016899296019770183,0.9918965996443337,-119.61070976917144,163.6617937963754,372.4913910036757,0.002674571461401987,0.0067849785583541005,0.28273770483968014,0.016461763394061114,0.9901110033252455,-118.81105351950612,147.38440090849454,373.8916736499569,1e-06,0.017916787773842657,5.581046123672998e-05,0.004738646805088604,0.11959971807644842,-42.9876938974343,55.81357621816199,1000000.0
166,0.09999999999999432,0.006743155966186315,0.008169472061084192,0.4521775741911623,0.017269880015512155,0.9977286801530104,-115.12887906169723,122.40693064654259,148.29851259773898,0.0066908236921222174,0.0072202929288329035,0.48096956372599464,0.01751345602382229,0.9976938942130766,-109.82327105809193,138.49853598137065,149.4584293376914,0.017069671849390577,0.07926630838340348,0.17718895690002884,1.1453766857146465e-05,0.06085184970911523,-36.061702566691295,12.615700420449715,58.58343434034452
172,0.09999999999999432,0.0018421588586233584,0.0047826686112798925,0.27806895605845283,0.012722107344590238,0.9767565235704091,-125.46320051049398,209.0882896719013,542.8413490611217,0.0035907083766441804,0.006098219860756763,0.3705991301270478,0.012307023592676434,0.9786446794145591,-121.7153429007108,163.9822805398007,278.49657925564657,0.0016705432160660945,0.005360756207468008,0.2375866984806115,0.0071037310638499915,0.9935810263396365,-67.5037779213059,186.54084634681044,598.607680653043
178,0.09999999999999432,0.0014011666692553947,0.0043635579699121225,0.24305873341033282,0.011138336627987376,0.9890190447211675,-91.89953322155431,229.17078377215623,713.6909704906255,0.001401312786314366,0.00498069200453891,0.21957250616964988,0.011133131119927222,0.987437148518455,-90.96101592255036,200.77531376939166,713.6165528255325,0.001412189963290679,0.0026080982269308683,0.35126585370807883,0.009855655455447936,0.9973926072839244,-60.76136061657765,383.4211417630424,708.1200305869645
184,0.09999999999999432,0.0017052915511795604,0.0050133680203618535,0.25381425164072235,0.034570012693705535,0.999999,-128.26119594410628,199.46670500519573,586.4099891354613,0.0015805607247397122,0.0029458561472383645,0.34918585040732136,0.03485339391314662,0.999999,-122.53412845960929,339.4598887448949,632.6868587505113,0.0014681215761842186,0.005291040175038532,0.21720468161878675,0.027194604836051156,0.999999,-107.21092631374113,188.99875391566414,681.1424995190731
190,0.09999999999999432,0.003511341079474072,0.007391063831293861,0.32207032376921174,0.015277336046817988,0.9926553492569857,-105.9996140075368,135.29852032477206,284.79147350441383,0.005764599340585679,0.00963873193210392,0.3742436774573838,0.015280651088640872,0.9967446300593368,-105.44902149567747,103.74808709735767,173.47259382963477,0.0015276526760364775,0.005182019806802333,0.2276791721121594,0.013711978878034096,0.999999,-67.54722667595087,192.97494746880747,654.5990562426258
196,0.09999999999999432,0.0016491194154380977,0.00438403815357347,0.2733426728167284,0.010051633709196291,0.9833532089316591,-92.78758083434212,228.10020464463585,606.3842258108061,0.0016453319287371272,0.004900906990933181,0.2513400364586742,0.009685538681215407,0.9807658265891609,-91.6525867310466,204.04386409495808,607.7800974588446,1e-06,0.15736772360170517,6.3545028333010155e-06,0.009692483458673967,0.6207930425714407,-39.95683790644686,6.354543213263869,1000000.0
202,0.09999999999999432,0.001971325817637088,0.004974413666764492,0.28381798972797645,0.023641937724829337,0.9953078562837542,-103.17628406163689,201.02871755143556,507.27281662583863,0.002143218962379525,0.00589018119842326,0.2667885228519914,0.02292127624964224,0.9943320802095497,-102.62922350905447,169.7740640419839,466.5878837175565,0.007122479994604972,0.17324221132609352,0.03948932544641349,0.006031078503764697,0.2900917770016216,-50.59266592687584,5.772265271526128,140.4005347515844
208,0.09999999999999432,0.0024992011703198667,0.005237381692432766,0.3230368257738359,0.030348206607344202,0.9915386437822814,-122.33210263449233,190.93510053789868,400.1278536021222,0.002614077536561834,0.0059525690160424265,0.30514595419687934,0.029888022218540172,0.9904817987398657,-121.67650895481948,167.99469225891502,382.5441235057053,1e-06,0.03427417292256575,2.9175636903691002e-05,0.013187521737893676,0.4450737149339856,-60.156502044400625,29.176488146315286,1000000.0
